Word,Explanation,Sentence,Spelling,PartOfSpeech
美味,おいしい、美味しい,這<美味<的小籠包真讓人回味無窮！,ㄇㄟˇ ㄨㄟˋ,形容詞
小籠包,小籠包,我最愛吃的是這家夜市的<小籠包<，皮薄肉多，湯頭鮮美。,ㄒㄧㄠˇ ㄌㄨㄥˊ ㄅㄠ,名詞
夜市,夜市,我們決定去<夜市<啃一頓美食，體驗高雄的夜生活。,ㄧㄝˋ ㄕˋ,名詞
推薦,おすすめ、推薦,老闆<推薦<的魷魚炒麵非常受歡迎。,ㄊㄨㄟ ㄐㄧㄢˋ,動詞
魷魚,イカ,高雄的<魷魚<炒麵是最有名的小吃之一。,ㄧㄡˊ ㄧㄡˊ,名詞
炒,炒める,我點了一碗<炒<麵，加了 banyak 的青菜。,ㄔㄠˇ,動詞
麵,麺,這裡的<麵<條很耐嚼，口感極佳。,ㄇㄧㄢˋ,名詞
耐嚼,噛みごたえがある,這些<耐嚼<的肉丸子非常受攝影家的喜愛。,ㄋㄞˋ ㄐㄧㄠˇ,形容詞
攝影,撮影,我特別喜歡<攝影<美食，分享給朋友們。,ㄕㄜˋ ㄧㄥˇ,動詞
分享,シェア,我們<分享<了這家小吃攤的美味，朋友們都說很好吃。,ㄈㄣˋ ㄒㄧㄤˋ,動詞
攤位,屋台,我們排隊等待，終於輪到我們去<攤位<點餐。,ㄊㄢˋ ㄨㄟˋ,名詞
排隊,並ぶ,因為<排隊<的人很多，我們等了十分鐘。,ㄆㄞˊ ㄉㄨㄟˋ,動詞
等待,待つ,<等待<的時間雖然長，但食物真的值得。,ㄉㄥˇ ㄉㄞˋ,動詞
時間,時間,我們花了不少<時間<尋找好的小吃攤。,ㄕㄧˊ ㄐㄧㄢˋ,名詞
尋找,探す,我們<尋找<傳統美食，最後找到了這家老店。,ㄒㄩㄣˊ ㄓㄠˇ,動詞
老店,古い店,這家<老店<的美味小吃讓人流連忘返。,ㄌㄠˇ ㄉㄧㄢˋ,名詞
流連,留まる,我們<流連<在夜市，享受美食和夜生活。,ㄌㄧㄡˊ ㄌㄧㄢˊ,動詞
夜生活,ナイトライフ,高雄的<夜生活<充滿活力，讓人難忘。,ㄧㄝˋ ㄕㄥ ㄏㄨㄛˋ,名詞
難忘,忘れられない,這次的<難忘<體驗讓我們願意再來一次。,ㄋㄢˊ ㄨㄤˋ,形容詞
體驗,体験,我們<體驗<了各種傳統小吃，感覺很特別。,ㄊㄧˇ ㄧㄢˋ,動詞
各種,様々な,高雄的<各種<小吃都很美味，讓人難以取捨。,ㄍㄜˋ ㄓㄨㄥˇ,形容詞
取捨,選ぶ,面對<取捨<的困難，我們決定多試幾家攤位。,ㄑㄩˇ ㄕㄜˋ,動詞
困難,困難,選擇<困難<，因為每家攤位都很吸引人。,ㄎㄨㄣˇ ㄋㄢˋ,名詞
吸引,魅力,這家攤位的<吸引<力很強，我們排隊等候。,ㄒㄧˊ ㄧㄣˇ,動詞
等候,待つ,我們<等候<了半小時，終於能享用美食。,ㄉㄥˇ ㄏㄡˋ,動詞
半小時,30分,我們<半小時<的等待值得，食物超級好吃。,ㄅㄢˋ ㄒㄧˋ ㄕˊ,名詞
享用,楽しむ,我們<享用<美味的小吃，感受高雄的夜市文化。,ㄒㄧㄤˇ ㄩㄥˋ,動詞
文化,文化,高雄的<文化<豐富多元，夜市是其中一部分。,ㄨㄣˊ ㄏㄨㄚˋ,名詞
豐富,豊富,這裡的<豐富<小吃讓人流連忘返。,ㄈㄥ ㄈㄨˋ,形容詞
流連忘返,留まる,我們<流連忘返<在夜市，享受美食和夜生活。,ㄌㄧㄡˊ ㄌㄧㄢˊ ㄨㄤˋ ㄈㄢˇ,成句
傳統,伝統的,高雄的<傳統<美食讓人難忘。,ㄔㄨㄢˊ ㄊㄨㄥˊ,形容詞
難忘,忘れられない,這次的<難忘<體驗讓我們願意再來一次。,ㄋㄢˊ ㄨㄤˋ,形容詞
願意,喜んで,我們<願意<再來一次，享受美食和夜市文化。,ㄩㄢˋ ㄧˋ,動詞
再來,また来る,我們<再來<一次，享受高雄的夜市美食。,ㄗㄞˋ ㄌㄞˊ,動詞
美食,美味しいもの,高雄的<美食<充滿活力，讓人難忘。,ㄇㄟˇ ㄕˊ,名詞
活力,活力,高雄的<活力<讓人著迷，夜市是其中一部分。,ㄏㄨㄛˊ ㄌㄧˋ,名詞
著迷,夢中,我們<著迷<於高雄的夜市文化和美食。,ㄓㄠˊ ㄇㄧˊ,動詞
