Word,Explanation,Sentence,Spelling,PartOfSpeech
こんにちは,你好,メニューを見て、<こんにちは< を言いましょう。,こんにちは,名詞
注文,點單,お気に入りの料理を<注文< しましょう。,ちゅうもん,名詞
飲み物,飲料,ビールや日本酒など、好きな<飲み物< を選びましょう。,のみもの,名詞
食べ物,食物,新鮮な<食べ物< を試してみましょう。,たべもの,名詞
頼む,請求、點菜,店員に注文を<頼む< ときに笑顔で話しましょう。,たのむ,動詞
美味しい,美味,この料理はとても<美味しい< です。,おいしい,形容詞
辛い,辣,辛い料理が好きなら、辛さを伝えて料理を<頼む< ことが大切です。,からい,形容詞
冷たい,冷的,夏は<冷たい<飲み物が人気です。,つめたい,形容詞
メニュー,菜單,さまざまな料理が書かれた<メニュー< を見ながら決めましょう。,めにゅー,名詞
勘定,帳單,食事が終わったら、<勘定< をお願いしましょう。,かんじょう,名詞
自家製,自家製的,この店の<自家製<料理は特におすすめです。,じかせい,形容詞
新鮮,新鮮的,新鮮な食材で作られた料理は<美味しい<です。,しんせん,形容詞
お勧め,推薦,お店の<お勧め<を聞いてみると、新しい料理に出会えるかもしれません。,おすすめ,名詞
席,座位,お店に入って、<席<に案内されたらメニューを見ましょう。,せき,名詞
店員,店員,店員に<注文<を頼むときは、丁寧にお願いしましょう。,てんいん,名詞
特製,特製的,この店の<特製<料理は、ここでしか味わえません。,とくせい,形容詞
季節,季節,季節ごとに変わる<季節<限定メニューを楽しみましょう。,きせつ,名詞
鮮魚,新鮮魚類,この居酒屋は<鮮魚<料理が自慢です。,せんぎょ,名詞
甘い,甜的,デザートは<甘い<ものが好きなら、メニューを見て選びましょう。,あまい,形容詞
炭酸,氣泡,炭酸飲料は夏には<冷たい<飲み物として人気です。,たんさん,名詞
満員,爆滿,週末は居酒屋が<満員<になることがよくあります。,まんいん,名詞
割引,折扣,ランチタイムには<割引<があることもありますので、チェックしてみてください。,わりびき,名詞
喉が渇く,口渴,辛い料理を食べると、<喉が渇く<ことがあります。,のどがかわく,動詞
酔っ払う,喝醉,飲みすぎると、すぐに<酔っ払い<になってしまいます。,よっぱらう,動詞
一杯,一杯,飲み終わったら、最後に<一杯<飲みましょう。,いっぱい,名詞
伝統的,傳統的的,この居酒屋は<伝統的<な日本料理を提供しています。,でんとうてき,形容詞
会計,結帳,食事が終わったら、<会計<をお願いしましょう。,かいけい,名詞
特別,特別的,誕生日などの特別な日には、<特別<なメニューを注文しましょう。,とくべつ,形容詞
酔い止め,解酒劑,<酔い止め<は必要な場合にはすぐに頼んでください。,よいどめ,名詞
揚げ物,炸物,揚げ物はビールとの相性が良いので、<注文<するときは一緒に頼んでみましょう。,あげもの,名詞
決定,決定,メニューを見てから<決定<するまで時間をかけても問題ありません。,けってい,名詞
おつまみ,餐前小吃,ビールに合う<おつまみ<を注文しましょう。,おつまみ,名詞
