Word,Explanation,Sentence,PartOfSpeech
ticket,票，入場券,I need to buy a <ticket< to enter the stadium.,名詞
stadium,體育場,The <stadium< is crowded with enthusiastic fans.,名詞
entrance,入口,Please proceed to the main <entrance< to buy your ticket.,名詞
concession,商品部，小攤位,You can find the team's merchandise at the <concession< stands.,名詞
merchandise,商品,"They offer a wide variety of team <merchandise<, including jerseys.",名詞
jersey,球衣,I want to buy a new <jersey< with my favorite player's number.,名詞
autograph,簽名,Could I get an <autograph< from the player after the game?,名詞
dugout,球員休息室,The players often stay in the <dugout< before the game.,名詞
inning,局,"The game is in the <inning<, and the score is tied.",名詞
scoreboard,記分板,The <scoreboard< shows the current score and number of innings.,名詞
purchase,購買,I want to <purchase< a ticket for the next game.,動詞
request,請求,May I <request< an autograph from the winning player?,動詞
attend,參加，出席,I will <attend< the game to support my favorite team.,動詞
wear,穿著,I <wear< my team's jersey to show my support.,動詞
display,展示,They <display< the new merchandise at the concession stand.,動詞
enjoy,享受,We <enjoy< watching the game while eating hot dogs.,動詞
celebrate,慶祝,The fans <celebrate< after the team wins the championship.,動詞
approach,接近,I <approach< the player to ask for an autograph.,動詞
arrive,到達,We <arrive< at the stadium early to get good seats.,動詞
congratulate,祝賀,I want to <congratulate< the team on their victory.,動詞
enthusiastic,熱情的,The fans are <enthusiastic< about the upcoming game.,形容詞
victorious,勝利的,The <victorious< team was cheered by the crowd.,形容詞
exciting,興奮的,The game was <exciting< and full of surprises.,形容詞
memorable,難忘的,The championship game was a <memorable< experience.,形容詞
nervous,緊張的,I feel <nervous< before the big game.,形容詞
proud,驕傲的,We are <proud< of our team's performance.,形容詞
impressive,印象深刻的,The player's skills were <impressive<.,形容詞
crowded,擁擠的,The stadium was <crowded< with fans.,形容詞
loyal,忠誠的,Our fans are <loyal< and support us every game.,形容詞
authentic,真正的,This jersey is <authentic< and signed by the player.,形容詞
unforgettable,難忘的,The game was an <unforgettable< experience.,形容詞
favorable,有利的,The <favorable< weather made the game enjoyable.,形容詞
unexpected,意外的,The <unexpected< victory made the fans very happy.,形容詞
supportive,支持的,The <supportive< crowd cheered loudly during the game.,形容詞
competitive,競爭的,The teams were very <competitive< during the season.,形容詞
tensely,緊張地,The fans watched the game <tensely< in the final inning.,副詞
enthusiastically,熱情地,The crowd cheered <enthusiastically< when the team scored.,副詞
immediately,立即,I rushed to the concession <immediately< after the game.,副詞
patiently,耐心地,I waited <patiently< in line to buy a ticket.,副詞
gracefully,優雅地,The player signed the jersey <gracefully< for the fans.,副詞
excellently,出色地,The team played <excellently< during the championship.,副詞
eventually,終於,The team won the game <eventually< after a close match.,副詞
reluctantly,勉強地,The player left the field <reluctantly< after the injury.,副詞
anxiously,焦慮地,The fans waited <anxiously< for the game to start.,副詞
enthusiastic,熱情的,The fans were <enthusiastic< about the upcoming game.,形容詞
victorious,勝利的,The <victorious< team was celebrated by the crowd.,形容詞
exciting,興奮的,The game was <exciting< and full of surprises.,形容詞
memorable,難忘的,The championship game was a <memorable< experience.,形容詞
